Rank,Release Group,Worldwide,Domestic,%,Foreign,%
144,Rafadan Tayfa Galaktik Tayfa,"$6,309,160",-,-,"$6,309,160",100%
145,Little Bird: The Big Quest,"$6,304,427",-,-,"$6,304,427",100%
146,Kishibe Rohan Rûvuru e iku,"$6,292,792",-,-,"$6,292,792",100%
147,Marlowe,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
148,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
149,Life for Real,"$6,116,307",-,-,"$6,116,307",100%
150,Unknown Title,"$6,099,393",-,-,"$6,099,393",100%
151,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
152,The Childe,"$5,934,764","$102,021",1.7%,"$5,832,743",98.3%
153,Road to Boston,"$5,896,325",-,-,"$5,896,325",100%
154,Blue Giant,"$5,745,531",-,-,"$5,745,531",100%
155,The Devil's Deal,"$5,702,702",-,-,"$5,702,702",100%
156,You Hurt My Feelings,"$5,698,637","$4,830,788",84.8%,"$867,849",15.2%
157,Rocky Aur Rani Kii Prem Kahaani,"$5,627,462",-,-,"$5,627,462",100%
158,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
159,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
160,10 jours encore sans maman,"$5,584,645",-,-,"$5,584,645",100%
161,It Lives Inside,"$5,538,057","$4,600,137",83.1%,"$937,920",16.9%
162,Off the Rails,"$5,467,591",-,-,"$5,467,591",100%
163,Nefarious,"$5,433,685","$5,433,685",100%,-,-
164,The Unlikely Pilgrimage of Harold Fry,"$5,391,723",-,-,"$5,391,723",100%
165,Baba Yaga spasyot mir,"$5,379,552",-,-,"$5,379,552",100%
166,Detective Conan: Episode of Ai Haibara - Black Iron Mystery Train,"$5,336,693",-,-,"$5,336,693",100%
167,Golda,"$5,254,701","$4,743,020",90.3%,"$511,681",9.7%
168,Les blagues de Toto 2 - Classe verte,"$5,206,007",-,-,"$5,206,007",100%
169,Infinity Pool,"$5,183,424","$5,078,400",98%,"$105,024",2%
170,¡Vaya vacaciones!,"$5,176,254",-,-,"$5,176,254",100%
171,Phantom,"$5,173,638",-,-,"$5,173,638",100%
172,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),"$5,166,455",-,-,"$5,166,455",100%
173,Rebound,"$5,145,202",-,-,"$5,145,202",100%
174,The Silent Service,"$5,140,123",-,-,"$5,140,123",100%
175,The Moon,"$5,129,682","$92,718",1.8%,"$5,036,964",98.2%
176,Chi Chi Em Em 2,"$5,109,674",-,-,"$5,109,674",100%
177,Shylock's Children,"$5,102,646",-,-,"$5,102,646",100%
178,Allelujah,"$5,035,719",-,-,"$5,035,719",100%
179,Ponniyin Selvan: Part Two,"$5,035,633","$3,813,000",75.7%,"$1,222,633",24.3%
180,Me contro Te - il Film: Missione Giungla,"$5,031,684",-,-,"$5,031,684",100%
181,Just the Two of Us,"$5,017,924",-,-,"$5,017,924",100%
182,Someday or One Day,"$5,009,619",-,-,"$5,009,619",100%
183,Winnie the Pooh: Blood and Honey,"$4,941,200","$1,750,639",35.4%,"$3,190,561",64.6%
184,Jailer,"$4,817,871",-,-,"$4,817,871",100%
185,Emergency Landing,"$4,752,283",-,-,"$4,752,283",100%
186,A Great Friend,"$4,682,078",-,-,"$4,682,078",100%
187,ONEMANSHOW: The Movie,"$4,681,464",-,-,"$4,681,464",100%
188,Stop Making Sense 2023 Re-release,"$4,641,772","$4,000,378",86.2%,"$641,394",13.8%
189,SSSS.Gridman,"$4,636,916",-,-,"$4,636,916",100%
190,Sage homme,"$4,613,332",-,-,"$4,613,332",100%
191,Last Night of Amore,"$4,580,566","$3,865",<0.1%,"$4,576,701",99.9%
192,2018,"$4,547,765",-,-,"$4,547,765",100%
193,Love Reset,"$4,546,708",-,-,"$4,546,708",100%
194,IM HERO THE FINAL,"$4,514,656",-,-,"$4,514,656",100%
195,Mari(dos),"$4,483,495",-,-,"$4,483,495",100%
196,Maamannan,"$4,463,992",-,-,"$4,463,992",100%
197,Maybe I Do,"$4,450,096","$1,293,722",29.1%,"$3,156,374",70.9%
198,Nyurnberg,"$4,354,380",-,-,"$4,354,380",100%
199,The Book of Wonders,"$4,324,164",-,-,"$4,324,164",100%
200,When Will It Be Again Like It Never Was Before,"$4,282,908",-,-,"$4,282,908",100%
